symptoms,predicted_condition,followup_questions
"chronic_low_mood, irritability, feelings_of_hopelessness, sleep_disturbance.1, fatigue, difficulty_making_decisions",Persistant Depressive Disorder,"['How do you usually cope with chronic low mood?', 'Does feelings of hopelessness affect your daily functioning?', 'Have you had professional help for difficulty making decisions before?', 'Is there a specific event that triggered your fatigue?', 'Have you had professional help for irritability before?']"
"feelings_of_hopelessness, fatigue, difficulty_making_decisions, irritability",Persistant Depressive Disorder,"['Have you talked to anyone about your irritability?', 'Does feelings of hopelessness affect your daily functioning?', 'On a scale of 1 to 10, how severe is your fatigue?', 'How long have you experienced difficulty making decisions?']"
"low_mood, physical_aches_and_pains, low_energy, feeling_of_worthless, changes_in_weight, sleep_disturbance",Depression,"['Is feeling of worthless interfering with your relationships or work?', 'Is changes in weight interfering with your relationships or work?', 'Do you notice physical aches and pains getting worse over time?', 'Have you talked to anyone about your sleep disturbance?', 'How do you usually cope with low mood?']"
"sleep_disturbance, changes_in_weight, low_energy, physical_aches_and_pains, feeling_of_worthless",Depression,"['Does low energy affect your daily functioning?', 'Have you talked to anyone about your sleep disturbance?', 'Have you had professional help for feeling of worthless before?', 'Do you notice physical aches and pains getting worse over time?', 'On a scale of 1 to 10, how severe is your changes in weight?']"
"sleep_disturbance, low_mood, changes_in_weight, low_energy",Depression,"['Do you notice low energy getting worse over time?', 'Is there a specific event that triggered your sleep disturbance?', 'On a scale of 1 to 10, how severe is your low mood?', 'How do you usually cope with changes in weight?']"
"low_energy, sleep_disturbance, changes_in_weight, feeling_of_worthless, low_mood, physical_aches_and_pains",Depression,"['Is there a specific event that triggered your low mood?', 'How do you usually cope with physical aches and pains?', 'How do you usually cope with sleep disturbance?', 'Is there a specific event that triggered your changes in weight?', 'How do you usually cope with low energy?']"
"feeling_of_worthless, low_mood, physical_aches_and_pains, changes_in_weight, low_energy",Depression,"['On a scale of 1 to 10, how severe is your changes in weight?', 'Have you talked to anyone about your physical aches and pains?', 'Have you had professional help for feeling of worthless before?', 'How do you usually cope with low mood?', 'How do you usually cope with low energy?']"
"fidgeting, easily_distracted, forgetfulness_in_daily_activities, difficulty_being_patient, difficulty_sustaining_attention",ADHD (Attention Deficit Hyperactivity Disorder),"['Do you notice forgetfulness in daily activities getting worse over time?', 'How long have you experienced easily distracted?', 'How do you usually cope with difficulty being patient?', 'How long have you experienced fidgeting?', 'Does difficulty sustaining attention affect your daily functioning?']"
"fidgeting, difficulty_being_patient, easily_distracted, interrupting_others, difficulty_sustaining_attention",ADHD (Attention Deficit Hyperactivity Disorder),"['Is fidgeting interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your easily distracted?', 'Does difficulty being patient affect your daily functioning?', 'How long have you experienced difficulty sustaining attention?', 'On a scale of 1 to 10, how severe is your interrupting others?']"
"difficulty_sustaining_attention, interrupting_others, forgetfulness_in_daily_activities, easily_distracted, fidgeting",ADHD (Attention Deficit Hyperactivity Disorder),"['Is interrupting others interfering with your relationships or work?', 'Is there a specific event that triggered your fidgeting?', 'Have you had professional help for easily distracted before?', 'How do you usually cope with difficulty sustaining attention?', 'Is forgetfulness in daily activities interfering with your relationships or work?']"
"difficulty_sustaining_attention, interrupting_others, easily_distracted, forgetfulness_in_daily_activities, difficulty_being_patient, fidgeting",ADHD (Attention Deficit Hyperactivity Disorder),"['How do you usually cope with forgetfulness in daily activities?', 'How do you usually cope with fidgeting?', 'Does interrupting others affect your daily functioning?', 'Is there a specific event that triggered your difficulty sustaining attention?', 'On a scale of 1 to 10, how severe is your easily distracted?']"
"interrupting_others, easily_distracted, forgetfulness_in_daily_activities, fidgeting, difficulty_being_patient, difficulty_sustaining_attention",ADHD (Attention Deficit Hyperactivity Disorder),"['Does anything help relieve your forgetfulness in daily activities?', 'Have you had professional help for easily distracted before?', 'Have you had professional help for difficulty sustaining attention before?', 'On a scale of 1 to 10, how severe is your difficulty being patient?', 'How do you usually cope with fidgeting?']"
"easily_distracted, poor_organizational_skill, fidgeting, frequently_losing_items, excessive_talking",ADHD (Attention Deficit Hyperactivity Disorder),"['Is excessive talking interfering with your relationships or work?', 'Is easily distracted interfering with your relationships or work?', 'Is frequently losing items interfering with your relationships or work?', 'Do you notice poor organizational skill getting worse over time?', 'How long have you experienced fidgeting?']"
"frequently_losing_items, excessive_talking, fidgeting, difficulty_sustaining_attention, poor_organizational_skill, easily_distracted",ADHD (Attention Deficit Hyperactivity Disorder),"['Is poor organizational skill interfering with your relationships or work?', 'How long have you experienced excessive talking?', 'Is frequently losing items interfering with your relationships or work?', 'How do you usually cope with easily distracted?', 'Is there a specific event that triggered your fidgeting?']"
"excessive_talking, fidgeting, easily_distracted, poor_organizational_skill, difficulty_sustaining_attention, frequently_losing_items",ADHD (Attention Deficit Hyperactivity Disorder),"['On a scale of 1 to 10, how severe is your difficulty sustaining attention?', 'How long have you experienced excessive talking?', 'Is there a specific event that triggered your poor organizational skill?', 'How long have you experienced frequently losing items?', 'How long have you experienced easily distracted?']"
"difficulty_sustaining_attention, excessive_talking, poor_organizational_skill, frequently_losing_items",ADHD (Attention Deficit Hyperactivity Disorder),"['On a scale of 1 to 10, how severe is your poor organizational skill?', 'On a scale of 1 to 10, how severe is your frequently losing items?', 'Does difficulty sustaining attention affect your daily functioning?', 'On a scale of 1 to 10, how severe is your excessive talking?']"
"excessive_talking, poor_organizational_skill, fidgeting, frequently_losing_items",ADHD (Attention Deficit Hyperactivity Disorder),"['Have you talked to anyone about your poor organizational skill?', 'On a scale of 1 to 10, how severe is your frequently losing items?', 'Have you talked to anyone about your fidgeting?', 'Does excessive talking affect your daily functioning?']"
